88134:
 num     #instances         #bytes  class name (module)
  91:            48           1392  [Ljava.lang.constant.ClassDesc; (java.base@26.0.1)
  92:            58           1392  java.lang.module.ModuleDescriptor$Provides (java.base@26.0.1)
  93:            58           1392  jdk.internal.constant.MethodTypeDescImpl (java.base@26.0.1)
  94:            57           1368  jdk.internal.constant.ClassOrInterfaceDescImpl (java.base@26.0.1)
  95:            32           1280  java.lang.invoke.BoundMethodHandle$Species_L (java.base@26.0.1)
  96:            11           1232  java.lang.Thread (java.base@26.0.1)
  97:            25           1200  java.lang.invoke.DirectMethodHandle$Constructor (java.base@26.0.1)
  98:            38           1184  [Ljava.math.BigInteger; (java.base@26.0.1)
  99:             1           1144  [Lsun.security.util.KnownOIDs; (java.base@26.0.1)
 100:             1           1040  [Ljava.lang.Byte; (java.base@26.0.1)
 101:             1           1040  [Ljava.lang.Integer; (java.base@26.0.1)
 102:             1           1040  [Ljava.lang.Long; (java.base@26.0.1)
 103:             1           1040  [Ljava.lang.Short; (java.base@26.0.1)
 104:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@26.0.1)
 105:            60            960  jdk.internal.module.SystemModuleFinders$1 (java.base@26.0.1)
 106:            58            928  java.util.HashMap$EntrySet (java.base@26.0.1)
 107:            58            928  jdk.internal.module.SystemModuleFinders$2 (java.base@26.0.1)
 108:            28            896  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@26.0.1)
 109:            22            880  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@26.0.1)
 110:             1            872  [Ljava.lang.classfile.Opcode; (java.base@26.0.1)
 111:            27            864  java.lang.reflect.ClassFileFormatVersion (java.base@26.0.1)
 112:            34            816  java.time.LocalDateTime (java.base@26.0.1)
 113:            20            800  java.lang.invoke.VarHandle$AccessDescriptor (java.base@26.0.1)
 114:            32            768  java.security.Provider$EngineDescription (java.base@26.0.1)
 115:            18            752  [Ljava.lang.invoke.MethodType; (java.base@26.0.1)
 116:            31            744  java.time.LocalDate (java.base@26.0.1)
 117:            15            720  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@26.0.1)
 118:            10            720  sun.invoke.util.Wrapper (java.base@26.0.1)
 119:            14            672  java.lang.Thread$FieldHolder (java.base@26.0.1)
 120:            28            672  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@26.0.1)
