Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID,Legacy,SourceFile,CandUnified,RecursedUnified,CountSource,ok
2026-06-30 08:54:27,EHAUSM-R,BIBLE,0,0,0.001,0.0,0.2,7617167,7273,51,8492,8552,0,0,0,25214943,4399,25098659,0,0.305843,0.0,0.0,9964,0,557.85,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,25214943.0,116284.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:54:40,EHAUSM-R,BIBLE,1,0,0.001,0.0,0.2,15283678,14546,29,12807,12837,0,0,0,25415115,7088,25329304,0,0.338954,0.0,0.0,10469,0,871.07,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,25415115.0,85811.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:54:53,EHAUSM-R,BIBLE,2,0,0.001,0.0,0.2,21271931,21819,43,13385,13429,0,0,0,21229906,9135,21164592,0,0.339368,0.0,0.0,8283,0,383.72,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,21229906.0,65314.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:55:13,EHAUSM-R,BIBLE,3,0,0.001,0.0,0.2,28633935,29092,53,18965,19018,0,0,0,25139190,10402,25070134,0,0.333905,0.0,0.0,8226,0,192.39,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,25139190.0,69056.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:55:32,EHAUSM-R,BIBLE,4,0,0.001,0.0,0.2,35550162,36369,57,19026,19084,0,0,0,21936545,12054,21880902,0,0.325249,0.0,0.0,6713,0,204.78,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,21936545.0,55643.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:55:43,EHAUSM-I,BIBLE,0,0,0.001,0.0,0.2,7617167,7273,60,10043,10104,0,0,0,25214943,4399,25098659,0,0.483665,0.0,0.0,9964,0,1122.81,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,25214943.0,116284.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:55:57,EHAUSM-I,BIBLE,1,0,0.001,0.0,0.2,15283678,14546,19,13827,13846,0,0,0,17714355,7088,17628544,0,0.49067,0.0,0.0,10469,0,2450.63,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,17714355.0,85811.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:56:11,EHAUSM-I,BIBLE,2,0,0.001,0.0,0.2,21271931,21819,35,13591,13627,0,0,0,9130023,9135,9064709,0,0.458285,0.0,0.0,8283,0,3427.71,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,9130023.0,65314.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:56:31,EHAUSM-I,BIBLE,3,0,0.001,0.0,0.2,28633935,29092,26,19537,19563,0,0,0,15156855,10402,15087799,0,0.451252,0.0,0.0,8226,0,1518.76,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,15156855.0,69056.0,results/exp1/experiment1_tightness.csv,True
2026-06-30 08:56:50,EHAUSM-I,BIBLE,4,0,0.001,0.0,0.2,35550162,36369,29,18236,18266,0,0,0,8115828,12054,8060185,0,0.432059,0.0,0.0,6713,0,3182.02,0,0,0,0,SUCCESS,,,,,,,,,,,,,,,,,,legacy,True,results/exp1/experiment1_tightness.csv,8115828.0,55643.0,results/exp1/experiment1_tightness.csv,True
