Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,ok
2026-06-30 05:00:04,EHAUSM-R,BIBLE,0,0,0.0005,0.0,0.2,7618336,7274,49,26176,26234,0,0,0,110955214,3329,110169960,0,0.313439,0.0,0.0,48701,0,508.8,0,0,0,0,SUCCESS,True
2026-06-30 05:00:35,EHAUSM-R,BIBLE,1,0,0.0005,0.0,0.2,15285217,14548,43,30364,30407,0,0,0,94370684,6085,94008153,0,0.36673,0.0,0.0,48266,0,905.63,0,0,0,0,SUCCESS,True
2026-06-30 05:01:06,EHAUSM-R,BIBLE,2,0,0.0005,0.0,0.2,21273471,21822,84,30867,30952,0,0,0,81843332,8107,81576542,0,0.369141,0.0,0.0,37666,0,899.15,0,0,0,0,SUCCESS,True
2026-06-30 05:01:51,EHAUSM-R,BIBLE,3,0,0.0005,0.0,0.2,28638230,29096,47,44184,44232,0,0,0,104701650,9373,104414942,0,0.363739,0.0,0.0,38012,0,952.01,0,0,0,0,SUCCESS,True
2026-06-30 05:02:34,EHAUSM-R,BIBLE,4,0,0.0005,0.0,0.2,35550162,36369,52,42655,42708,0,0,0,90922505,10979,90699589,0,0.355649,0.0,0.0,29772,0,902.48,0,0,0,0,SUCCESS,True
2026-06-30 05:03:08,EHAUSM-I,BIBLE,0,0,0.0005,0.0,0.2,7618336,7274,68,33328,33397,0,0,0,110955214,3329,110169960,0,0.510124,0.0,0.0,48701,0,3776.38,0,0,0,0,SUCCESS,True
2026-06-30 05:03:42,EHAUSM-I,BIBLE,1,0,0.0005,0.0,0.2,15285217,14548,29,33178,33208,0,0,0,58637082,6085,58274551,0,0.534255,0.0,0.0,48266,0,7456.0,0,0,0,0,SUCCESS,True
2026-06-30 05:04:14,EHAUSM-I,BIBLE,2,0,0.0005,0.0,0.2,21273471,21822,23,30763,30787,0,0,0,28148357,8107,27881567,0,0.50441,0.0,0.0,37666,0,4065.58,0,0,0,0,SUCCESS,True
2026-06-30 05:05:01,EHAUSM-I,BIBLE,3,0,0.0005,0.0,0.2,28638230,29096,29,46881,46911,0,0,0,54462176,9373,54175468,0,0.496265,0.0,0.0,38012,0,5159.38,0,0,0,0,SUCCESS,True
2026-06-30 05:05:42,EHAUSM-I,BIBLE,4,0,0.0005,0.0,0.2,35550162,36369,26,39668,39694,0,0,0,23299388,10979,23076472,0,0.482942,0.0,0.0,29772,0,4686.72,0,0,0,0,SUCCESS,True
