kind,exp,dataset,arm,cpu_min,wall_min,timeouts,failures,rows,current_code,run_ids
time,9,KOSARAK,EHAUSM-R,31.958,32.167,0,0,15,False,20260914-0108
time,9,KOSARAK,HAUSP-UB,17.288,17.467,0,0,15,False,20260907-2314
time,9,KOSARAK,HAUSP-UB[noEUCS],15.807,15.983,0,0,15,False,20260914-0417
time,9,KOSARAK,HAUSP-UB[noL2+L3@node+nopool+noEUCS],16.746,16.933,0,0,15,False,20260914-0227
time,9,KOSARAK,HAUSP-UB[noL2+L3@node+nopool],25.735,25.917,0,0,15,False,20260907-2032
time,9,KOSARAK,HAUSP-UB[noL2+noEUCS],16.079,16.267,0,0,15,False,20260914-0342
time,9,KOSARAK,HAUSP-UB[noL2+nopool+noEUCS],16.262,16.467,0,0,15,False,20260914-0305
time,9,KOSARAK,HAUSP-UB[noL2+nopool],18.321,18.517,0,0,15,False,20260907-2156
time,9,KOSARAK,HAUSP-UB[noL2],17.704,17.883,0,0,15,False,20260907-2236
time,9,LEVIATHAN,EHAUSM-I,0.813,0.883,0,0,15,False,20260913-2338
time,9,LEVIATHAN,EHAUSM-R,0.716,0.8,0,0,15,False,20260914-0108
time,9,LEVIATHAN,HAUSP-UB,0.259,0.35,0,0,15,False,20260907-2314
time,9,LEVIATHAN,HAUSP-UB[noEUCS],0.224,0.3,0,0,15,False,20260914-0417
time,9,LEVIATHAN,HAUSP-UB[noL2+L3@node+nopool+noEUCS],0.272,0.367,0,0,15,False,20260914-0227
time,9,LEVIATHAN,HAUSP-UB[noL2+L3@node+nopool],1.188,1.283,0,0,15,False,20260907-2032
time,9,LEVIATHAN,HAUSP-UB[noL2+noEUCS],0.229,0.3,0,0,15,False,20260914-0342
time,9,LEVIATHAN,HAUSP-UB[noL2+nopool+noEUCS],0.264,0.333,0,0,15,False,20260914-0305
time,9,LEVIATHAN,HAUSP-UB[noL2+nopool],0.304,0.383,0,0,15,False,20260907-2156
time,9,LEVIATHAN,HAUSP-UB[noL2],0.268,0.35,0,0,15,False,20260907-2236
time,9,SIGN,EHAUSM-I,5.773,6.0,0,0,15,False,20260913-2338
time,9,SIGN,EHAUSM-R,4.805,4.9,0,0,15,False,20260914-0108
time,9,SIGN,HAUSP-UB,1.834,1.9,0,0,15,False,20260907-2314
time,9,SIGN,HAUSP-UB[noEUCS],1.299,1.367,0,0,15,False,20260914-0417
time,9,SIGN,HAUSP-UB[noL2+L3@node+nopool+noEUCS],1.757,1.833,0,0,15,False,20260914-0227
time,9,SIGN,HAUSP-UB[noL2+L3@node+nopool],20.028,20.117,0,0,15,False,20260907-2032
time,9,SIGN,HAUSP-UB[noL2+noEUCS],1.328,1.4,0,0,15,False,20260914-0342
time,9,SIGN,HAUSP-UB[noL2+nopool+noEUCS],1.577,1.667,0,0,15,False,20260914-0305
time,9,SIGN,HAUSP-UB[noL2+nopool],2.045,2.117,0,0,15,False,20260907-2156
time,9,SIGN,HAUSP-UB[noL2],1.81,1.883,0,0,15,False,20260907-2236
time,9,TAFENG,EHAUSM-I,2.489,2.566,0,0,15,True,20260920-0654
time,9,TAFENG,EHAUSM-R,1.842,1.917,0,0,15,True,20260920-0654
time,9,TAFENG,HAUSP-UB[noEUCS],0.685,0.767,0,0,15,True,20260920-0654
time,9,TAFENG,HAUSP-UB[noL2+L3@node+nopool+noEUCS],1.055,1.133,0,0,15,True,20260920-0654
time,9,TAFENG,HAUSP-UB[noL2+noEUCS],0.839,0.9,0,0,15,True,20260920-0654
time,9,TAFENG,HAUSP-UB[noL2+nopool+noEUCS],0.91,0.983,0,0,15,True,20260920-0654
time,10,BIBLE,Pre-HAUSPM,11.354,22.657,0,0,12,False,20260905-0344
time,10,BMS1_SPMF,Pre-HAUSPM,43.053,43.35,1,1,10,False,20260905-0344
time,10,C8T1S5I8N5K,Pre-HAUSPM,0.646,1.283,0,0,12,False,20260905-0344
time,10,FIFA,Pre-HAUSPM,95.079,266.433,0,0,12,False,20260905-0344
time,10,KOSARAK,Pre-HAUSPM,27.794,52.25,0,0,12,False,20260905-0344
time,10,LEVIATHAN,Pre-HAUSPM,1.555,2.833,0,0,12,False,20260905-0344
time,10,SIGN,Pre-HAUSPM,7.263,13.65,0,0,12,False,20260905-0344
time,10,TAFENG,Pre-HAUSPM,0.425,0.828,0,0,12,True,20260920-1126
time,11,C8T1S5I8N5K,EHAUSM-I,3.523,3.667,0,0,540,True,20260917-1737
time,11,C8T1S5I8N5K,HAUSP-UB,3.439,3.455,0,0,300,False,20260905-1028
time,11,C8T1S5I8N5K,HAUSP-UB[noEUCS],3.902,4.033,0,0,540,True,20260917-2319
time,11,C8T1S5I8N5K,Pre-HAUSPM,19.948,20.2,0,0,540,True,20260917-1855
time,11,SIGN,EHAUSM-I,72.703,74.291,0,0,540,True,20260917-1737
time,11,SIGN,HAUSP-UB,33.854,33.882,0,0,300,False,20260905-1028
time,11,SIGN,HAUSP-UB[noEUCS],43.613,43.704,0,0,540,True,20260917-2319
time,11,SIGN,Pre-HAUSPM,242.731,244.273,0,0,540,True,20260917-1855
time,11,TAFENG,EHAUSM-I,13.912,14.167,0,0,540,True,20260921-1531
time,11,TAFENG,HAUSP-UB[noEUCS],7.069,7.202,0,0,540,True,20260921-1531
time,11,TAFENG,Pre-HAUSPM,315.37,319.15,0,0,540,True,20260921-1531
mem,3,BIBLE,EHAUSM-I,8.211,20.3,0,0,12,True,20260922-1536
mem,3,BIBLE,EHAUSM-R,8.844,9.12,0,0,12,True,20260922-1536
mem,3,BIBLE,HAUSP-UB,1.097,2.04,0,0,4,False,20260907-1045
mem,3,BIBLE,HAUSP-UB[noEUCS],2.575,5.467,0,0,12,True,20260922-1536
mem,3,BIBLE,Pre-HAUSPM,11.392,23.967,0,0,12,True,20260922-1536
mem,3,BMS1_SPMF,EHAUSM-I,7.816,8.089,0,0,8,False,20260907-0743 20260922-1536
mem,3,BMS1_SPMF,EHAUSM-R,6.503,6.672,0,0,8,False,20260907-0715 20260922-1536
mem,3,BMS1_SPMF,HAUSP-UB,1.804,1.9,0,0,4,False,20260907-1045
mem,3,BMS1_SPMF,HAUSP-UB[noEUCS],2.432,2.519,0,0,6,False,20260909-1735 20260922-1536
mem,3,BMS1_SPMF,Pre-HAUSPM,75.056,76.329,0,0,7,False,20260907-0838 20260922-1536
mem,3,C8T1S5I8N5K,EHAUSM-I,0.087,0.233,0,0,4,False,20260907-0743
mem,3,C8T1S5I8N5K,EHAUSM-R,0.09,0.133,0,0,4,False,20260907-0715
mem,3,C8T1S5I8N5K,HAUSP-UB,0.063,0.2,0,0,4,False,20260907-1045
mem,3,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.053,0.15,0,0,4,False,20260909-1735
mem,3,C8T1S5I8N5K,Pre-HAUSPM,0.216,0.467,0,0,4,False,20260907-0838
mem,3,FIFA,EHAUSM-I,16.151,32.733,0,0,4,False,20260907-0743
mem,3,FIFA,EHAUSM-R,15.088,15.517,0,0,4,False,20260907-0715
mem,3,FIFA,HAUSP-UB,5.706,10.717,0,0,4,False,20260907-1045
mem,3,FIFA,HAUSP-UB[noEUCS],5.952,11.367,0,0,4,False,20260909-1735
mem,3,FIFA,Pre-HAUSPM,27.863,52.917,0,0,4,False,20260907-0838
mem,3,KOSARAK,EHAUSM-I,3.485,7.9,0,0,4,False,20260907-0743
mem,3,KOSARAK,EHAUSM-R,3.259,3.85,0,0,4,False,20260907-0715
mem,3,KOSARAK,HAUSP-UB,1.644,4.067,0,0,4,False,20260907-1045
mem,3,KOSARAK,HAUSP-UB[noEUCS],1.465,3.217,0,0,4,False,20260909-1735
mem,3,KOSARAK,Pre-HAUSPM,7.193,15.4,0,0,4,False,20260907-0838
mem,3,LEVIATHAN,EHAUSM-I,0.362,0.733,0,0,4,False,20260907-0743
mem,3,LEVIATHAN,EHAUSM-R,0.34,0.4,0,0,4,False,20260907-0715
mem,3,LEVIATHAN,HAUSP-UB,0.12,0.267,0,0,4,False,20260907-1045
mem,3,LEVIATHAN,HAUSP-UB[noEUCS],0.105,0.233,0,0,4,False,20260909-1735
mem,3,LEVIATHAN,Pre-HAUSPM,0.503,0.95,0,0,4,False,20260907-0838
mem,3,SIGN,EHAUSM-I,1.737,3.7,0,0,4,False,20260907-0743
mem,3,SIGN,EHAUSM-R,1.637,1.683,0,0,4,False,20260907-0715
mem,3,SIGN,HAUSP-UB,0.568,1.083,0,0,4,False,20260907-1045
mem,3,SIGN,HAUSP-UB[noEUCS],0.519,1.0,0,0,4,False,20260909-1735
mem,3,SIGN,Pre-HAUSPM,2.261,4.283,0,0,4,False,20260907-0838
mem,3,TAFENG,EHAUSM-I,0.271,0.683,0,0,12,True,20260922-1937
mem,3,TAFENG,EHAUSM-R,0.324,0.398,0,0,12,True,20260922-1937
mem,3,TAFENG,HAUSP-UB[noEUCS],0.119,0.283,0,0,12,True,20260922-1937
mem,3,TAFENG,Pre-HAUSPM,0.412,0.833,0,0,12,True,20260922-1937
mem,4,BIBLE,EHAUSM-I,9.014,9.625,0,0,15,False,20260915-2005
mem,4,BIBLE,EHAUSM-R,9.146,9.492,0,0,15,False,20260915-1901
mem,4,BIBLE,HAUSP-UB,3.223,3.383,0,0,15,False,20260907-0648
mem,4,BIBLE,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260907-0218
mem,4,BIBLE,HAUSP-UB[noEUCS],2.653,2.818,0,0,15,False,20260915-2339
mem,4,BIBLE,Pre-HAUSPM,13.102,13.507,0,0,15,False,20260915-2115
mem,4,BMS1_SPMF,EHAUSM-I,3.533,3.75,0,0,15,False,20260915-2005
mem,4,BMS1_SPMF,EHAUSM-R,3.032,3.2,0,0,15,False,20260915-1901
mem,4,BMS1_SPMF,HAUSP-UB,1.561,1.717,0,0,15,False,20260907-0648
mem,4,BMS1_SPMF,HAUSP-UB-L1,0.0,0.0,1,1,5,False,20260907-0218
mem,4,BMS1_SPMF,HAUSP-UB[noEUCS],1.339,1.483,0,0,15,False,20260915-2339
mem,4,BMS1_SPMF,Pre-HAUSPM,35.138,35.883,0,0,15,False,20260915-2115
mem,4,C8T1S5I8N5K,EHAUSM-I,0.264,0.383,0,0,15,False,20260915-2005
mem,4,C8T1S5I8N5K,EHAUSM-R,0.23,0.333,0,0,15,False,20260915-1901
mem,4,C8T1S5I8N5K,HAUSP-UB,0.201,0.3,0,0,15,False,20260907-0648
mem,4,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.114,0.233,0,0,15,False,20260915-2339
mem,4,C8T1S5I8N5K,Pre-HAUSPM,0.627,0.75,0,0,15,False,20260915-2115
mem,4,FIFA,EHAUSM-I,38.455,39.933,0,0,15,False,20260915-2005
mem,4,FIFA,EHAUSM-R,35.793,36.883,0,0,15,False,20260915-1901
mem,4,FIFA,HAUSP-UB,14.535,14.883,0,0,15,False,20260907-0648
mem,4,FIFA,HAUSP-UB[noEUCS],13.627,14.2,0,0,15,False,20260915-2339
mem,4,FIFA,Pre-HAUSPM,65.4,67.15,0,0,15,False,20260915-2115
mem,4,KOSARAK,EHAUSM-I,7.856,9.15,0,0,15,False,20260915-2005
mem,4,KOSARAK,EHAUSM-R,7.327,8.517,0,0,15,False,20260915-1901
mem,4,KOSARAK,HAUSP-UB,3.671,4.383,0,0,15,False,20260907-0648
mem,4,KOSARAK,HAUSP-UB[noEUCS],3.217,3.883,0,0,15,False,20260915-2339
mem,4,KOSARAK,Pre-HAUSPM,16.083,18.483,0,0,15,False,20260915-2115
mem,4,LEVIATHAN,EHAUSM-I,0.793,0.917,0,0,15,False,20260915-2005
mem,4,LEVIATHAN,EHAUSM-R,0.749,0.883,0,0,15,False,20260915-1901
mem,4,LEVIATHAN,HAUSP-UB,0.249,0.367,0,0,15,False,20260907-0648
mem,4,LEVIATHAN,HAUSP-UB[noEUCS],0.219,0.333,0,0,15,False,20260915-2339
mem,4,LEVIATHAN,Pre-HAUSPM,1.101,1.217,0,0,15,False,20260915-2115
mem,4,SIGN,EHAUSM-I,5.509,5.983,0,0,15,False,20260915-2005
mem,4,SIGN,EHAUSM-R,4.817,4.967,0,0,15,False,20260915-1901
mem,4,SIGN,HAUSP-UB,1.834,1.933,0,0,15,False,20260907-0648
mem,4,SIGN,HAUSP-UB[noEUCS],1.275,1.367,0,0,15,False,20260915-2339
mem,4,SIGN,Pre-HAUSPM,7.056,7.267,0,0,15,False,20260915-2115
mem,4,TAFENG,EHAUSM-I,2.614,2.817,0,0,15,True,20260920-1127
mem,4,TAFENG,EHAUSM-R,1.697,1.8,0,0,15,True,20260920-1127
mem,4,TAFENG,HAUSP-UB-L1,0.0,0.0,1,1,5,True,20260920-1127
mem,4,TAFENG,HAUSP-UB[noEUCS],0.646,90.833,0,0,15,True,20260920-1127
mem,4,TAFENG,Pre-HAUSPM,56.797,58.067,0,0,15,True,20260920-1127
mem,9,BIBLE,EHAUSM-I,1.281,1.328,0,0,5,False,20260916-2021
mem,9,BIBLE,EHAUSM-R,1.201,1.258,0,0,5,False,20260916-2053
mem,9,BIBLE,HAUSP-UB,0.457,0.475,0,0,5,False,20260908-1802
mem,9,BIBLE,HAUSP-UB[noEUCS],0.381,0.411,0,0,5,False,20260916-2159
mem,9,BIBLE,HAUSP-UB[noL2+L3@node+nopool+noEUCS],0.445,0.488,0,0,5,False,20260916-2121
mem,9,BIBLE,HAUSP-UB[noL2+noEUCS],0.386,0.412,0,0,5,False,20260916-2147
mem,9,BIBLE,HAUSP-UB[noL2+nopool+noEUCS],0.439,0.469,0,0,5,False,20260916-2134
mem,9,BIBLE,HAUSP-UB[noL2],0.469,0.493,0,0,5,False,20260908-1815
mem,9,BMS1_SPMF,EHAUSM-I,1.193,1.267,0,0,5,False,20260916-2021
mem,9,BMS1_SPMF,EHAUSM-R,0.944,1.0,0,0,5,False,20260916-2053
mem,9,BMS1_SPMF,HAUSP-UB,0.557,0.6,0,0,5,False,20260908-1802
mem,9,BMS1_SPMF,HAUSP-UB[noEUCS],0.45,0.5,0,0,5,False,20260916-2159
mem,9,BMS1_SPMF,HAUSP-UB[noL2+L3@node+nopool+noEUCS],0.551,0.583,0,0,5,False,20260916-2121
mem,9,BMS1_SPMF,HAUSP-UB[noL2+noEUCS],0.432,0.467,0,0,5,False,20260916-2147
mem,9,BMS1_SPMF,HAUSP-UB[noL2+nopool+noEUCS],0.541,0.583,0,0,5,False,20260916-2134
mem,9,BMS1_SPMF,HAUSP-UB[noL2],0.547,0.583,0,0,5,False,20260908-1815
mem,9,C8T1S5I8N5K,EHAUSM-I,0.086,0.117,0,0,5,False,20260916-2021
mem,9,C8T1S5I8N5K,EHAUSM-R,0.074,0.1,0,0,5,False,20260916-2053
mem,9,C8T1S5I8N5K,HAUSP-UB,0.071,0.1,0,0,5,False,20260908-1802
mem,9,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.04,0.083,0,0,5,False,20260916-2159
mem,9,C8T1S5I8N5K,HAUSP-UB[noL2+L3@node+nopool+noEUCS],0.048,0.083,0,0,5,False,20260916-2121
mem,9,C8T1S5I8N5K,HAUSP-UB[noL2+noEUCS],0.04,0.083,0,0,5,False,20260916-2147
mem,9,C8T1S5I8N5K,HAUSP-UB[noL2+nopool+noEUCS],0.047,0.083,0,0,5,False,20260916-2134
mem,9,C8T1S5I8N5K,HAUSP-UB[noL2],0.071,0.1,0,0,5,False,20260908-1815
mem,9,FIFA,EHAUSM-I,12.794,13.267,0,0,5,False,20260916-2021
mem,9,FIFA,EHAUSM-R,11.457,11.8,0,0,5,False,20260916-2053
mem,9,FIFA,HAUSP-UB,4.744,4.867,0,0,5,False,20260908-1802
mem,9,FIFA,HAUSP-UB[noEUCS],4.487,4.667,0,0,5,False,20260916-2159
mem,9,FIFA,HAUSP-UB[noL2+L3@node+nopool+noEUCS],5.081,5.233,0,0,5,False,20260916-2121
mem,9,FIFA,HAUSP-UB[noL2+noEUCS],4.305,4.483,0,0,5,False,20260916-2147
mem,9,FIFA,HAUSP-UB[noL2+nopool+noEUCS],5.085,5.233,0,0,5,False,20260916-2134
mem,9,FIFA,HAUSP-UB[noL2],4.78,4.9,0,0,5,False,20260908-1815
mem,9,KOSARAK,EHAUSM-I,11.909,13.65,0,0,5,False,20260916-2021
mem,9,KOSARAK,EHAUSM-R,10.528,12.0,0,0,5,False,20260916-2053
mem,9,KOSARAK,HAUSP-UB,5.694,6.533,0,0,5,False,20260908-1802
mem,9,KOSARAK,HAUSP-UB[noEUCS],5.15,5.933,0,0,5,False,20260916-2159
mem,9,KOSARAK,HAUSP-UB[noL2+L3@node+nopool+noEUCS],5.404,6.233,0,0,5,False,20260916-2121
mem,9,KOSARAK,HAUSP-UB[noL2+noEUCS],5.016,5.783,0,0,5,False,20260916-2147
mem,9,KOSARAK,HAUSP-UB[noL2+nopool+noEUCS],5.342,6.15,0,0,5,False,20260916-2134
mem,9,KOSARAK,HAUSP-UB[noL2],5.785,6.633,0,0,5,False,20260908-1815
mem,9,LEVIATHAN,EHAUSM-I,0.267,0.3,0,0,5,False,20260916-2021
mem,9,LEVIATHAN,EHAUSM-R,0.241,0.283,0,0,5,False,20260916-2053
mem,9,LEVIATHAN,HAUSP-UB,0.086,0.117,0,0,5,False,20260908-1802
mem,9,LEVIATHAN,HAUSP-UB[noEUCS],0.073,0.117,0,0,5,False,20260916-2159
mem,9,LEVIATHAN,HAUSP-UB[noL2+L3@node+nopool+noEUCS],0.085,0.117,0,0,5,False,20260916-2121
mem,9,LEVIATHAN,HAUSP-UB[noL2+noEUCS],0.073,0.117,0,0,5,False,20260916-2147
mem,9,LEVIATHAN,HAUSP-UB[noL2+nopool+noEUCS],0.084,0.117,0,0,5,False,20260916-2134
mem,9,LEVIATHAN,HAUSP-UB[noL2],0.087,0.133,0,0,5,False,20260908-1815
mem,9,SIGN,EHAUSM-I,1.838,2.0,0,0,5,False,20260916-2021
mem,9,SIGN,EHAUSM-R,1.596,1.65,0,0,5,False,20260916-2053
mem,9,SIGN,HAUSP-UB,0.596,0.633,0,0,5,False,20260908-1802
mem,9,SIGN,HAUSP-UB[noEUCS],0.42,0.433,0,0,5,False,20260916-2159
mem,9,SIGN,HAUSP-UB[noL2+L3@node+nopool+noEUCS],0.541,0.567,0,0,5,False,20260916-2121
mem,9,SIGN,HAUSP-UB[noL2+noEUCS],0.413,0.433,0,0,5,False,20260916-2147
mem,9,SIGN,HAUSP-UB[noL2+nopool+noEUCS],0.502,0.533,0,0,5,False,20260916-2134
mem,9,SIGN,HAUSP-UB[noL2],0.616,0.633,0,0,5,False,20260908-1815
mem,11,C8T1S5I8N5K,EHAUSM-I,0.423,0.517,0,0,100,False,20260916-1358
mem,11,C8T1S5I8N5K,HAUSP-UB,1.172,1.217,0,0,100,False,20260907-1606
mem,11,C8T1S5I8N5K,HAUSP-UB[noEUCS],0.697,0.783,0,0,100,False,20260916-1458
mem,11,C8T1S5I8N5K,Pre-HAUSPM,4.135,4.283,0,0,100,False,20260916-1408
mem,11,SIGN,EHAUSM-I,9.189,10.026,0,0,100,False,20260916-1358
mem,11,SIGN,HAUSP-UB,11.433,11.515,0,0,100,False,20260907-1606
mem,11,SIGN,HAUSP-UB[noEUCS],8.002,8.069,0,0,100,False,20260916-1458
mem,11,SIGN,Pre-HAUSPM,44.68,45.394,0,0,100,False,20260916-1408
mem,11,TAFENG,EHAUSM-I,1.726,1.804,0,0,100,True,20260924-2142
mem,11,TAFENG,HAUSP-UB[noEUCS],1.105,1.228,0,0,100,True,20260924-2141
mem,11,TAFENG,Pre-HAUSPM,39.817,40.528,0,0,100,True,20260924-2144
