# run_id=20260904-0800 git=e0ec34f jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=MODIFIED(9) cmd=--exp 1 --dataset leviathan,sign --algo EHAUSM-R,EHAUSM-I,HAUSP-UB --repeats 1 --timeout 90 --results-dir results-2026-09/exp1_probe
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,RunID
2026-09-04 08:02:15,EHAUSM-R,SIGN,3,0,0.003000,0.000,0.200,1316615,584,2,21063,21065,0,0,0,84148511,14,83536343,0,0.284258,0.000000,0.000000,12887,0,39.48,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,20260904-0800
2026-09-04 08:02:40,EHAUSM-R,SIGN,4,0,0.003000,0.000,0.200,1668652,730,2,24510,24513,0,0,0,87193705,18,86599818,0,0.284660,0.000000,0.000000,12666,0,61.37,0,0,0,0,SUCCESS,0,0,,,,,,,,,,,20260904-0800
2026-09-04 08:03:00,EHAUSM-I,SIGN,0,0,0.003000,0.000,0.200,319686,146,8,19299,19307,0,0,0,106349081,0,104965619,0,0.455007,0.000000,0.000000,23387,0,2973.16,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,20260904-0800
2026-09-04 08:03:23,EHAUSM-I,SIGN,1,0,0.003000,0.000,0.200,642036,292,2,21829,21831,0,0,0,73317874,3,72378242,0,0.451535,0.000000,0.000000,17303,0,7219.69,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,20260904-0800
2026-09-04 08:03:44,EHAUSM-I,SIGN,2,0,0.003000,0.000,0.200,955150,438,1,19711,19712,0,0,0,44231397,12,43544048,0,0.436332,0.000000,0.000000,14594,0,5985.52,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,20260904-0800
2026-09-04 08:04:07,EHAUSM-I,SIGN,3,0,0.003000,0.000,0.200,1316615,584,1,22199,22200,0,0,0,43765007,14,43152839,0,0.434715,0.000000,0.000000,12887,0,5163.43,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,20260904-0800
2026-09-04 08:04:34,EHAUSM-I,SIGN,4,0,0.003000,0.000,0.200,1668652,730,0,26050,26051,0,0,0,45117749,18,44523862,0,0.411298,0.000000,0.000000,12666,0,7491.54,0,0,0,0,SUCCESS,0,1,,,,,,,,,,,20260904-0800
2026-09-04 08:04:41,HAUSP-UB,SIGN,0,0,0.003000,0.000,0.200,319686,146,12,6665,6678,0,1139,550,106348582,2,104964977,143,0.000000,0.178773,0.178783,23387,0,149.11,106348584,106347647,937,217,SUCCESS,1383605,2,,1096704,242848,74809588,179968,,,,,143,20260904-0800
2026-09-04 08:04:48,HAUSP-UB,SIGN,1,0,0.003000,0.000,0.200,642036,292,9,7016,7025,0,912,371,102930374,22,101990681,61,0.000000,0.181681,0.181697,17303,0,123.94,102930179,102930111,788,246,SUCCESS,939693,2,,2214912,486720,74809588,400768,,,,,61,20260904-0800
2026-09-04 08:04:55,HAUSP-UB,SIGN,2,0,0.003000,0.000,0.200,955150,438,0,6716,6716,0,691,270,84707189,33,84019787,53,0.000000,0.184860,0.184882,14594,0,123.58,84706976,84706973,762,255,SUCCESS,687402,2,,3235840,721888,74809588,577536,,,,,53,20260904-0800
2026-09-04 08:05:03,HAUSP-UB,SIGN,3,0,0.003000,0.000,0.200,1316615,584,0,7330,7331,0,650,242,83597067,30,82984834,65,0.000000,0.177132,0.177159,12887,0,123.10,83596842,83596842,749,267,SUCCESS,612233,2,,4189184,963200,74809588,814976,,,,,65,20260904-0800
2026-09-04 08:05:11,HAUSP-UB,SIGN,4,0,0.003000,0.000,0.200,1668652,730,0,8580,8582,0,668,234,86623949,32,86030002,60,0.000000,0.176058,0.176085,12666,0,125.18,86623714,86623701,754,267,SUCCESS,593947,2,,5607424,1214656,74809588,1011712,,,,,60,20260904-0800
