# run_id=20260918-1922 git=1f71e20 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean data=51a0304d3d57 cmd=--exp 1,5,6,9 --timeout 90 --repeats 3
Dataset,MinUtil,BatchID,RunIndex,HAUSP_EHAUSM-R,HAUSP_HAUSP-UB,Status,RunID,UBArm
KOSARAK,0.005000,0,1,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,1,1,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,2,1,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,3,1,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,4,1,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,0,2,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,1,2,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,2,2,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,3,2,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
KOSARAK,0.005000,4,2,44,44,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,0,0,1358,1358,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,1,0,1794,1794,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,2,0,1962,1962,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,3,0,1912,1912,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,4,0,1983,1983,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,0,1,1358,1358,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,1,1,1794,1794,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,2,1,1962,1962,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,3,1,1912,1912,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,4,1,1983,1983,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,0,2,1358,1358,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,1,2,1794,1794,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,2,2,1962,1962,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
LEVIATHAN,0.005000,3,2,1912,1912,SUCCESS_MATCH,20260918-1922,HAUSP-UB[noEUCS]
